doc_id,title,doc_len
1,"Erasmus, a European hit affected by inequality",16392
2,Let the party continue!,1064
3,"Portugal’s vax success story does not apply to the undocumented, despite the government’s good intentions",7230
4,Nicolai von Ondarza: ‘Boris Johnson might be the PM who facilitated the breakup of the UK’,746
5,Europe weakened by rising inequality,7955
6,New Olympic Disciplines,1052
7,Undocumented and still unvaxxed in Greece,8210
8,Senad Pećanin: ‘It seems that all the Western Balkans have been set back to the 1990s’,799
9,The undocumented muddle through Ireland’s vax vagaries,7884
10,The mediator,1104
11,"In Kyiv, preparing for the apocalypse",6040
12,"Getting vaccinated in Belgium, a ‘kafkaesque experience’ for the undocumented",7134
13,Green populism: How the far-right embraces ecology,13225
14,Timothy Garton Ash: The war on Ukraine will change the face of Europe forever,7210
15,Statement of support for Ukraine and Ukrainian Journalists,2562
16,We Russians are orphans of history,10066
17,The invasion of Ukraine in press cartoons,1331
18,For a Union based on the rule of law,5898
19,"Alhierd Bacharevič: Dear Ukrainians, we have a common enemy – dictatorship. Let’s not be divided",16668
20,"Russia’s invasion of Ukraine and its consequences, as seen by cartoonists – week two",1642
21,"Heatwaves, water shortages and repeated flooding: the IPCC warns Europe to prepare itself",11116
22,Deportation fears and bureaucratic obstacles delay vaccines for the undocumented in Spain,6782
23,Moldova braces for impact with the war in Ukraine,9421
24,"In the Netherlands, the undocumented struggle for access to the vaccine",6126
25,"Amid a war, Europeans imagine the Union of tomorrow",4905
26,A selective welcome,1147
27,Nobody knows what Russians want. Not even Russians themselves,16060
28,"The legitimacy of lockdown, according to Jürgen Habermas",17980
29,Breadbasket of Europe,1349
30,The war in Ukraine and Vladimir Putin’s imperial project,18183
31,"At the Polish-Ukrainian border, European solidarity finally shines",12190
32,"No to war, time for a new Founding pact for Europe",8125
33,Why I felt Daphne’s murder needed to take centre stage,4981
34,Can Europe get tough on both the Russian enemy without and the Hungarian enemy within?,7594
35,Red carpet,1609
36,Displaced Ukrainians are finding family in Greece,8160
37,"Europe and Ukrainian refugees: ‘It’s great to see that, when you want to, you can’",11874
38,The Poodle,1729
39,"In Italy, undocumented migrants struggle to access jabs and vaccine certificates",9127
40,"In Hungary, Ukrainians find a warm people but a frosty state",9160
41,How to prevent Europe from surrendering to Putin,11537
42,What impact will the war in Ukraine have on the environment?,13317
43,Party for the World,1348
44,"A woman, her newspaper and an entire sector under attack in Belarus",6726
45,Bitter victory,1514
46,"In Romania, solidarity with Ukrainian refugees falls to civil society",8988
47,Stella Moris: ‘Julian Assange’s case has set a new global standard in freedom of the press’,7843
48,Nobel peace prize Dmitry Muratov: Propaganda is war itself,3473
49,How Europe spent billions to keep migrants in Africa,10525
50,Meet the Belarusian cyberpartisans fighting for Ukraine and their own country,8258
51,Questions over Europe’s aid policy to combat African immigration,15084
52,No more war?,976
53,The democratic challenges of post-pandemic Europe,6131
54,How the war in Ukraine is affecting the business of Czech fossil fuel magnate Daniel Křetínský,18030
55,Russian exiles get a chilly reception in Georgia,11593
56,Putin’s nightmare,1045
57,Ukrainian railways on the front line,7017
58,Sweden’ green transition awakes neo-colonial sentiment among Sámis,8791
59,The impact of chemical pollution is too high to be ignored,5285
60,European withdrawal,1509
61,"In European prisons, pre-trial detention correlates with a higher risk of suicide",10210
62,How to put participatory democracy back on the European agenda,4829
63,Ukrainian director Sergei Loznitsa: ‘Don’t boycott Russian culture’,9652
64,Turning off the oil tap,1156
65,All quiet on the Bessarabian front,15434
66,Partygate and the Platinum Jubilee,1332
67,Big Tech’s lobby game in Europe,8587
68,Ukraine’s friends must stand together against those who oppose its accession to the EU,6117
69,Food weapon,1440
70,How are EU countries doing against inflation?,10439
71,It’s no time to show weakness to the Kremlin,5101
72,"Fires and depopulation, the Med’s downward spiral",11897
73,The path to equality – what can the trade unions (and the State) do?,4446
74,A pyrrhic victory,1926
75,Push forward reforms in Ukraine and maintain faith in Europe,5599
76,Looking after forests and bringing the people back – how to end the scourge of mega-fires,9351
77,The Greek island of Euboea has barely begun to heal,2606
78,Why the invasion of Ukraine is a symptom of the Kremlin’s powerlessness and fear,10484
79,"The Baltic countries, a safe haven for independent Russian media",6396
80,Mournings instead of cheers,1453
81,"Melilla, the invisible genocide at the gates of Europe",6412
82,"‘In Greece, migrants receive longer sentences than  neo-Nazis’",8475
83,Ukraine war opens the wound of Estonia’s Soviet past,8575
84,Why Europe needs to tackle with work-related psychological risks,6013
85,Hand-to-hand,1975
86,How I became a target for the Kremlin,6573
87,Bosnia and Ukraine: two rails of the same track,11764
88,"Alexandre Leforestier, founder of Panodyssey: “The tech industry is the Silk Road 2.0”",10008
89,Anti-war Russians find refuge in Cyprus,6744
90,In the hot seat,1385
91,Serbia on the side of Putin’s executioners in Ukraine,9705
92,Tripped up,946
93,"In Moldova, the Ukraine war is causing historical fears to ‘rise to the surface and burst’",7739
94,Viktor Orbán’s Hungary in the shadow of the war in Ukraine,7882
95,"Bucha, I will remember that name",7486
96,Why Belarus is erasing the memory of WWII Polish resistance,9810
97,The Holy Grail,1147
98,"Russian imperialism, Georgia’s chronic viral infection",11148
99,What will be Europe’s next move against Viktor Orbán’s Hungary ?,7782
100,Dangerous game at Zaporizhzhia,1079
101,How the Ukrainian Resistance operates in the Russian-occupied territories,18716
102,Diary from Ukraine’s struggle,54306
103,"Russia, Ukraine, and the West: The unavoidable conversation",12289
104,For a new post-pandemic economic constitution,9033
105,European food companies fail to reduce their plastic footprint,10436
106,Liz Truss in the footsteps of Maggie Thatcher,1081
107,How the children of perestroika ended up eating each other,16389
108,The Queen is dead,562
109,‘Biggest monkeypox epidemic yet seen in Europe’: how the EU is tackling another imported virus,14747
110,Vladimir Putin’s war in Ukraine tops the 2022 European Cartoon awards,1918
